state,statefip,county,countyfip,tract,18under1990,18under2000,18under2010,18under2020,18over1990,18over2000,18over2010,18over2020,housing1990,housing2000,housing2010,housing2020,poptract1990,poptract2000,poptract2010,poptract2020,hl1990,hl2000,hl2010,hl2020,white1990,white2000,white2010,white2020,black1990,black2000,black2010,black2020,aian1990,aian2000,aian2010,aian2020,asian1990,asian2000,asian2010,asian2020,nhpi1990,nhpi2000,nhpi2010,nhpi2020,gqi1990,gqi2000,gqi2010,gqi2020,gqni1990,gqni2000,gqni2010,gqni2020
California,6,Nevada County,57,105,657.92,667,535,480,1789.01,2056,2257,2327,938.04,1050,1227,1223,2446.93,2723,2792,2807,107.39,104,159,199,2352.24,2570,2597,2427,4,10,22,14,42.54,24,41,33,14.09,22,17,32,4,1,1,3,0,0,0,4,0,0,4,0
California,6,San Bernardino County,71,105,405.63,2212.18,1899,1345.88,910.49,3971.64,4777,4894.92,603.52,1655.03,1950,1979.17,1316.12,6183.82,6676,6240.81,229.83,1304,1503,1206.63,759.96,2583.92,2615,1337.9,79.85,306.93,331,231.99,4.77,12,29,37.98,346.79,2421.78,2971,3514.52,1.6,5,10,4.02,69.59,0,145,71,0,151,0,6
California,6,Madera County,39,106,615,1056,1135,1020,1780.9,3145,3886,4044,904.92,1791.16,2181,2172,2395.9,4201,5021,5064,99,334,524,765,2302.9,3904,4434,3954,17,15,38,37,36,54,121,87,22,29,51,123,4,17,8,6,0,5,0,0,0,0,0,0
California,6,San Bernardino County,71,107,1157,1002,771,527,1822,1980,2186,2279,826,837,957,848,2979,2982,2957,2806,543,765,983,892,2588,2224,2106,1280,78,97,100,85,33,18,21,29,140,213,299,592,8,6,8,11,0,0,0,0,0,0,0,126
California,6,Madera County,39,108,962,1239,1258,1285,2773,4278,5810,5473,1532,2601,3380,3051,3735,5517,7068,6758,200,316,622,902,3495,5062,6279,5253,14,19,30,40,145,160,298,374,22,27,59,128,2,11,8,0,5,0,17,7,20,10,0,0
California,6,San Bernardino County,71,108,1253.28,1596,1381,1159,2842.23,3309,3696,3901,1523.22,1648,1747,1753,4095.52,4905,5077,5060,665.2,1075,1306,1463,3236.62,3186,2959,1836,266.43,319,294,302,22.79,12,10,22,305.87,736,1183,1608,3.51,3,3,6,0,0,0,13,0,0,0,0
California,6,Madera County,39,109,402,485,470,442,1097.1,1500,1922,1831,562.08,842.84,1059,1026,1499.1,1985,2392,2273,96,232,264,357,1411.1,1787,2068,1721,7,13,34,32,38,57,51,72,10,10,23,33,0,1,2,1,0,0,6,0,67,0,0,0
California,6,San Bernardino County,71,109,2490,2314,1700,1357,4437,4779,5052,5126,2082,2111,2101,2113,6927,7093,6752,6483,1094,1906,2220,2253,6109,5354,4963,3096,124,175,155,134,43,64,48,66,242,420,639,1220,12,9,8,8,0,0,0,0,0,0,8,12
California,6,San Bernardino County,71,111,374.72,645,626,581,1016.77,1436,1954,2171.98,544.78,698,864,963.99,1391.48,2081,2580,2752.98,177.8,329,564,625.99,1223.38,1614,1726,1082.99,38.57,83,91,72,9.21,13,24,23,54.13,178,510,992,1.49,4,2,2,0,0,0,0,0,0,0,0
California,6,San Bernardino County,71,113,2371.51,3484.27,3107,2772.01,5128.42,6923.48,8005,9574.12,2678.4,3257.22,3438,4061.02,7499.93,10407.75,11112,12346.12,2271.64,4730.17,5622,5937.21,5828.74,5991.62,6123,3341.93,164.87,381.99,340,412.5,56.68,109,103,192.03,230.37,1031.01,1929,3248.5,15.27,15,20,11.08,0,0,0,0,0,0,0,1
California,6,San Bernardino County,71,115,328.9,1228.03,2184,2202,718.49,2187.09,4930,7520,334.6,999.04,2156,3347,1047.39,3415.11,7114,9722,283.1,949.03,2055,2542,783.23,1992.07,3281,2539,38.48,349.01,405,635,1.25,19,39,64,110.95,525.02,2471,4124,0.5,3,24,24,0,0,0,0,0,0,0,0
California,6,San Bernardino County,71,116,543.32,2459,3289,2856.72,1269.17,4993,7567,8962.92,631.21,2301,3388,3768.02,1812.49,7452,10856,11819.64,323.9,1795,2660,2810.48,1312.81,4296,5181,3324.11,94.65,548,618,579.19,3.07,36,24,80.97,255.68,1483,3598,5251.5,1.23,5,9,27.92,0,0,0,0,0,0,0,0
California,6,San Bernardino County,71,117,399.64,2404,1783,1227,1107.58,5109,5176,5509,740.77,2302,2260,2286,1507.22,7513,6959,6736,175.48,1315,1399,1269,1153.95,3948,3266,1752,45.68,407,292,228,3.67,30,25,25,230.69,2433,2784,3496,0.76,6,2,11,0,0,0,0,0,0,0,0
California,6,San Bernardino County,71,118,174.15,1478.61,1177,950.12,437.85,2918.97,3364,3742.08,348.67,1260.63,1361,1514.83,612,4397.58,4541,4692.19,86.07,808.46,929,774.37,417.06,1870.26,1713,1008.1,7.46,202.33,138,133.01,1.87,19,16,14.02,140.22,1832.5,2213,2815.48,0.53,9,4,9.98,0,0,0,0,0,0,0,0
California,6,Calaveras County,9,120,428.8,697,929,860,1215.4,2300,3505,4163,1158.04,1685,2728,2988,1644.2,2997,4434,5023,78.7,237,532,670,1572.15,2692,3993,4082,19,24,39,46,28.54,44,48,57,15.38,56,57,90,1,10,12,7,0,0,0,0,0,0,0,37
California,6,Calaveras County,9,121,786.2,890,909,788,2363.6,2857,3554,3545,1483.96,1719,2253,2218,3149.8,3747,4463,4333,166.3,270,537,529,3021.85,3492,3911,3524,6,16,12,27,88.46,67,62,92,11.62,17,54,49,0,1,8,17,22,0,0,0,0,45,47,58
California,6,Calaveras County,9,122,795.23,824,727,618,2663.19,3162,3319,3223,1580.71,1905,2140,2095,3458.42,3986,4046,3841,185.96,207,399,453,3279.53,3666,3665,3182,41.92,60,47,27,61,60,40,46,15.96,25,22,26,8,3,12,4,101,165,98,74,0,0,0,0
California,6,Amador County,5,200,874,962,793,736.94,3057,3534,3879,4186.9,1913,2155,2499,2612.97,3931,4496,4672,4923.84,195,252,386,550.99,3796,4190,4243,4084.85,10,7,20,16,61,58,52,79,21,33,32,57,6,0,2,5,2,1,0,0,14,0,10,18
California,6,Colusa County,11,200,1287.52,1350,1496,1397,2885.99,3184,3625,3754,1537.93,1655,1941,1940,4173.51,4534,5121,5151,1226.68,1665,2400,2753,3333.65,3037,3603,2439,30,23,48,36,111,149,137,191,105,77,68,72,18,38,39,39,78,67,51,90,1.86,13,8,5
California,6,Fresno County,19,200,912.45,1042.78,1202,1150,1471.61,1526.78,1965,2101,765.32,746.89,830,863,2384.05,2569.57,3167,3251,859.51,1373,2013,2355,274.06,610,850,440,1029.48,700.57,612,543,21,55,72,83,419,322,315,178,1,0,1,4,87,70,78,61,24,0,8,9
California,6,Humboldt County,23,200,1631,1589,1446,1316,4252,4438,4765,4704,2530,2552,2567,2581,5883,6027,6211,6020,282,533,822,1045,5100,4771,4723,3856,109,112,111,119,313,313,264,299,274,256,298,339,16,27,67,84,6,9,6,2,89,242,340,90
California,6,Inyo County,27,200,464.01,391,263,287,1391.04,1236,1455,1411,817.04,871,921,918,1855.04,1627,1718,1698,129,115,180,261,1716.04,1489,1508,1293,40,1,47,36,44,36,51,45,9,22,19,16,0,1,2,1,116,0,111,97,0,0,11,11
California,6,Kern County,29,200,2243,2440,2197,2392,4990,5103,5447,5854,3045,3100,3162,3102,7233,7543,7644,8246,478,908,1654,2824,6740,6505,6216,5239,9,7,40,220,203,208,142,181,47,18,30,100,4,5,1,11,0,0,0,0,0,0,0,49
California,6,Kings County,31,200,665.98,699.52,605,528,1453.97,1595.2,1666,1622,702.99,752.68,816,761,2119.96,2294.73,2271,2150,428.96,659.2,784,813,1711.99,1714.52,1679,1322,73,62,42,44,18,19,14,41,13,16,22,29,0,1,3,2,0,0,0,0,0,55,0,57
California,6,Mariposa County,43,200,517,623,567,473,1733,2211,2785,2733,1386,1622,2123,1891,2250,2834,3352,3206,98,218,310,477,2131,2574,3061,2450,7,11,23,12,84,74,51,51,6,16,25,47,9,4,10,4,0,0,0,0,0,14,0,10
California,6,Modoc County,49,200,589.14,557,473,308.46,1401.08,1408,1437,1209.82,994.92,987,1032,876.48,1990.22,1965,1910,1518.28,257,388,422,337.47,1795.22,1583,1492,1119.96,0,6,5,2,43,37,57,56.31,3,3,4,1,2,1,5,0,0,0,0,0,0,5,3,20
California,6,Mono County,51,200,1043,1594,1720,1504,3742,5500,6517,5695,7102,7966,9633,9335,4785,7094,8237,7199,692,1575,2775,2400,4629,5902,6646,4777,9,29,29,35,30,35,49,95,63,90,128,104,6,9,5,14,0,1,0,0,12,217,158,112
California,6,Monterey County,53,200,1705,2281,2107,2119,3995,4641,4777,5277,1791,1804,1804,1824,5700,6922,6884,7396,2349,4544,5413,6124,3449,3116,2893,1446,209,158,106,96,75,61,122,229,445,394,396,364,10,15,22,24,0,0,0,0,0,30,7,0
California,6,Nevada County,57,200,438.29,490.79,497,432,1295.66,1737.67,2203,2240,679.28,897.92,1163,1193,1733.95,2228.46,2700,2672,60,63,151,181,1686.47,2127.46,2499,2295,3,2,10,20,27.49,13,32,26,5,11,25,29,0,4,1,1,0,0,0,0,24,0,12,10
California,6,Sacramento County,67,200,551,565,612,728,3019,2894,2885,3161,1795,1831,1800,1809,3570,3459,3497,3889,256,295,385,540,3324,3079,3081,2998,33,40,36,51,26,21,24,29,84,104,137,167,3,2,5,2,59,51,47,170,5,0,0,0
California,6,San Benito County,69,200,1514.77,1500,1413,1334,3619.39,3937,4638,5395,1786.7,1932,2280,2506,5134.16,5437,6051,6729,1785.61,1971,2471,3183,3973.39,3953,4058,3366,23,34,52,71,70,61,104,215,117.99,105,179,262,9,17,13,19,0,2,0,0,125,10,55,38
California,6,Santa Barbara County,83,200,574,740,649,675,3499,3727,3650,4399,2076,2208,2147,2089,4073,4467,4299,5074,601,882,950,1353,3668,3836,3521,3390,50,53,55,65,22,36,31,60,101,131,169,261,2,3,5,4,111,24,91,375,0,4,10,390
California,6,Siskiyou County,93,200,530,537,482,386,1287,1347,1473,1285,789,904,925,791,1817,1884,1955,1671,254,428,487,623,1758,1496,1490,996,8,1,19,7,39,76,44,24,8,13,14,38,1,1,8,0,0,0,0,0,0,0,2,20
California,6,Tehama County,103,200,1089,1413,1843,1933,2883,3911,5862,6180,1490,2074,3257,3398,3972,5324,7705,8113,185,335,598,854,3841,4841,6953,6558,6,38,18,44,65,106,203,203,17,31,58,126,0,3,9,6,7,0,0,0,2,0,0,10
California,6,Trinity County,105,200,599,465,357,291,1595,1611,1924,1723,1370,1380,1420,1212,2194,2076,2281,2014,106,61,154,133,1950,1794,1959,1621,1,3,4,4,195,150,153,90,15,4,7,30,4,4,0,7,0,0,0,0,15,26,34,26
